"Store Name",Address,Latitude,Longitude,City
"Moon Neighbor Foor Tobacoo جار القمر للمعسلات","8150 3837 حراء، AR Rabwah District Jeddah 23533 Saudi Arabia",21.6170099,39.1731628,Jeddah
"الريان للمعسلات والدخان Vape","Saqer Qouraish حي السلامه Jeddah 23436 Saudi Arabia",21.5822761,39.1501103,Jeddah
"ناستي للمعسلات/ Nasty for Hookahs & Vapes","Mall Ar Rawdah Sari 7034 Al Bawadi Al Sawari Jeddah 23435 Saudi Arabia",21.5750216,39.1458109,Jeddah
"SMOKE & TOBACCO","9305 Sari Br Rd 3473 JERC3473 Jeddah 23434 Saudi Arabia",21.5783311,39.1568903,Jeddah
"Masalat Alkayf Baghfar","Prince Saud Al Faisal Al-Safa Jeddah 23451 Saudi Arabia",21.5749382,39.2075694,Jeddah
"Vape shop","J45H+9W8 An Nahdah شارع حراء، حي، Jeddah 23523 Saudi Arabia",21.6084005,39.1298427,Jeddah
"Vape&smoking lounge","8004 Al Haidari AR Rabwah District 4662 Jeddah 23535 Saudi Arabia",21.6155941,39.1811829,Jeddah
"Cloud 9 Tobacco store","3016-2988 Saqer Qouraish As Salamah Jeddah 23436 Saudi Arabia",21.583056,39.15282930000001,Jeddah
"Amwaj Al Bihaar","J5CC+CPR An Nuzhah Jeddah 23534 Saudi Arabia",21.6211048,39.1717747,Jeddah
"Vape house","As Samir District JDSB3765، 3765 الأجواد، 7149 Jeddah 23462 Saudi Arabia",21.5930293,39.2381393,Jeddah
"Tobacco express","G5C6+XMC Palestine حي الحمراء Jeddah 23321 Saudi Arabia",21.5224629,39.1616215,Jeddah
"النخيل للمعسلات","H647+3CH Al Muallifeen St طريق الامير متعب Jeddah Saudi Arabia",21.5551099,39.2136051,Jeddah
"Vape and Smoke","2526 Al Naseem St An Nasim District، Jeddah 23234 Saudi Arabia",21.5203835,39.2227807,Jeddah
"الزعيم للجراك والمعسل","J48X+GJ7 Ahmad Ibn Osaib Al Naeem Jeddah 23526 Saudi Arabia",21.6162879,39.1490496,Jeddah
"Sultan Tobacco Shop","8167 3256 حراء، Al Naeem Jeddah 23525 23526 Saudi Arabia",21.6128287,39.1492964,Jeddah
"Tobacco Store Jed","، حي الروضة،، الروضة، شارع حمد الجاسر - شارع الكيال Jeddah 23435، Saudi Arabia",21.5678658,39.1596474,Jeddah
"معسلات الروضة (دخان_فيب _ معسلات) (VAPE_SHISHA_CIGARETTES)","Hamad Al Jaser، 8493 حمد الجاسر، حي الروضة، جدة 23434 3712، Jeddah Saudi Arabia",21.57123,39.1586188,Jeddah
"سموكي بف","2891 8147 Al Lewaa District Jeddah 23333 Saudi Arabia",21.5488275,39.1822534,Jeddah
"CLOUD HOUSE","Sari Br Rd street، Jeddah 23435 Saudi Arabia",21.5749859,39.1456839,Jeddah
"دكان تبغ","7180 Abdul Rahman Ibn Ahmad As Sidayri 3560 As Salamah District 3560 Jeddah 23436 3560 Jeddah 23436 Saudi Arabia",21.5823447,39.15941470000001,Jeddah
"City Tobacco - متجر سيتي للتبغ","Ahmad Al Attas Al Zahra Jeddah 23425 Saudi Arabia",21.5906985,39.1313428,Jeddah
"VAPE HUT","Sari Br Rd Ar Rawdah Jeddah 23435 Saudi Arabia",21.5761481,39.1489911,Jeddah
"نيو فيب معسلات","Al Sharafeyah Jeddah 21442 Saudi Arabia",21.5160416,39.1893625,Jeddah
"Ché Cigar Accessories","Tahlia Walkway Al Andalus Jeddah 23322 Saudi Arabia",21.5478317,39.1495003,Jeddah
"دخان و تبغ Smoking & Tobacco","8837 قاسم زينة، 8837 AR Rawdah District 4245 Jeddah 23434 Saudi Arabia",21.5741666,39.1641655,Jeddah
"Smoke & Tobacco","3099 البريدي، حي الاندلس، جدة 23326 8776، Saudi Arabia",21.5485753,39.163489,Jeddah
"Al Nimr Tobacco - متجر النمر للتبغ","4068 Al Batterjee Street Al Zahra Jeddah 23522 Saudi Arabia",21.5980471,39.1378545,Jeddah
"ملتقى الكيف","3159 Al Khateeb Al Tabrizi حي البوادي، 6767 Jeddah 23443 Saudi Arabia",21.5863774,39.1707171,Jeddah
